arm,cost_mult,cost_pct,mdd_pct,n_days,net_2020,net_2021,net_2022,net_2023,net_2024,net_pct,panel,seed,sharpe,sharpe_2020,sharpe_2021,sharpe_2022,sharpe_2023,sharpe_2024,turnover
Online GRU,5.0,31.76487172804104,29.877423270837532,1251,,,,,,-23.166402782279157,set4,46,-0.36616567548220386,,,,,,0.13658853056032616
Online GRU,1.0,6.3254936104659745,12.915577587991448,1251,14.4885248113323,6.646222546414365,-0.06627231817574984,1.8464724689804097,5.71973148279432,28.63467899134564,set4,47,0.5152595117686926,0.7707086462165599,0.7241812511789634,-0.0069647031356988845,0.2434039294062522,0.9508786135188537,0.1406267753370602
Online GRU,1.5,9.48824041569896,12.989795539992166,1251,,,,,,25.47193218611265,set4,47,0.45837901126541863,,,,,,0.1406267753370602
Online GRU,2.0,12.650987220931949,13.064013491992881,1251,,,,,,22.309185380879665,set4,47,0.40149018044043006,,,,,,0.1406267753370602
Online GRU,3.0,18.97648083139792,13.21244939599432,1251,,,,,,15.983691770413689,set4,47,0.2876887077187796,,,,,,0.1406267753370602
Online GRU,5.0,31.627468052329867,18.623857735510054,1251,,,,,,3.3327045494817438,set4,47,0.059998790261262626,,,,,,0.1406267753370602
Online GRU,1.0,5.970153517696724,31.398238715080645,1251,-4.533654367501621,2.7031168059199815,-9.2055039173177,10.712282813301922,-0.5379017607917598,-0.861660426389177,set4,48,-0.014367474656091596,-0.23383201339769816,0.2646291509243659,-0.8257142295923623,1.1766090901402415,-0.08909842630155639,0.13443606662209193
Online GRU,1.5,8.955230276545084,32.80175608351869,1251,,,,,,-3.846737185237535,set4,48,-0.06413723676590694,,,,,,0.13443606662209193
Online GRU,2.0,11.940307035393449,34.20527345195672,1251,,,,,,-6.831813944085893,set4,48,-0.11390074208958996,,,,,,0.13443606662209193
Online GRU,3.0,17.910460553090168,37.01230818883278,1251,,,,,,-12.801967461782631,set4,48,-0.2134081002784899,,,,,,0.13443606662209193
Online GRU,5.0,29.850767588483613,42.62637766258494,1251,,,,,,-24.742274497176066,set4,48,-0.41233804194548557,,,,,,0.13443606662209193
Online GRU,1.0,6.121495306568953,19.752405277184106,1251,19.368847827109104,13.971882691665972,-4.02329722073029,7.459975867419745,7.266752716702239,44.04416188216677,set4,49,0.6808563989863989,0.8599474217113745,1.479314576135515,-0.3473622701598177,0.8955850837575382,1.117646962498609,0.13573396842335506
Online GRU,1.5,9.18224295985343,19.81684119253796,1251,,,,,,40.98341422888229,set4,49,0.6336419533764575,,,,,,0.13573396842335506
Online GRU,2.0,12.242990613137906,19.881277107891805,1251,,,,,,37.92266657559782,set4,49,0.5864105295697806,,,,,,0.13573396842335506
Online GRU,3.0,18.36448591970686,20.010148938599507,1251,,,,,,31.80117126902887,set4,49,0.49189870042633405,,,,,,0.13573396842335506
Online GRU,5.0,30.60747653284476,20.267892600014903,1251,,,,,,19.55818065589097,set4,49,0.30269284039293126,,,,,,0.13573396842335506
