islands,panel,seed,net_pct,sharpe,mdd_pct
60,set3,45,23.666311305861992,0.3045150989277017,30.201957598056605
60,set3,46,50.741238472585025,0.7497622275521191,21.475532818810454
60,set3,47,34.56480229859676,0.4495552180442701,23.837073923973566
60,set3,48,31.87402039751623,0.4573639383493687,30.179627619909756
60,set3,49,41.476701263013446,0.5299397587440167,24.324090322258286
60,set3,50,38.14724533201336,0.5254007392447059,20.158135775331772
60,set3,51,50.61776364436334,0.668794420731638,24.378877228055668
60,set4,42,36.94521765026188,0.5741745648882289,29.5165500917848
60,set4,43,40.1198636679412,0.6234099854726693,25.861469982178154
60,set4,44,47.40419958665038,0.7093249186134359,18.699464847353596
60,set4,45,42.93624492244933,0.6803806576105199,26.013761388196027
60,set4,46,34.4589831983881,0.5134464288376631,24.349322740841295
60,set4,47,50.277280815725646,0.7360832294916775,20.58875175063361
60,set4,48,59.058053171671276,0.887621376581598,21.957911678972593
60,set4,49,44.44437045092895,0.6498859050685027,23.67813221083297
60,set4,50,41.47173087104093,0.6803284177731409,19.798974163516956
60,set4,51,32.91337640229066,0.5426991878518258,21.321860556935533
